politica,enviados,pct_volumen,enganches,tasa_enganche,optouts,optouts_evitados,revenue_mxn,dias_negativos,puntos_ahorro,util_pp,revenue_por_envio,pct_revenue_retenido,pct_enganches_retenidos
P0 baseline: enviar todo,285000,100.0,32644,11.45,2761,0,3507396,1679,19086,105357,12.31,100.0,100.0
P1 cap de frecuencia: exposure_no<=2,240110,84.2,31349,13.06,1466,1295,3371784,1612,18305,101121,14.04,96.1,96.0
P2 solo on_time (senal <=24h),4165,1.5,1734,41.63,32,2729,50291,-414,3601,876,12.07,1.4,5.3
P3 on_time o warm (<=7d),23773,8.3,5905,24.84,196,2565,205152,-1374,11561,4145,8.63,5.8,18.1
P4 sin limit_increase a fragiles,276015,96.8,30365,11.0,2698,63,2741448,-3031,24122,65349,9.93,78.2,93.0
P5 on_time + exposure<=2,3514,1.2,1621,46.13,18,2743,47083,-391,3375,790,13.4,1.3,5.0
P6 SALUD: (on_time o warm) + exp<=2 + veto limit_increase a fragiles,19693,6.9,5508,27.97,95,2666,160570,-1502,11210,2140,8.15,4.6,16.9
P7 REVENUE: (on_time o warm) + exp<=2 (sin veto),19889,7.0,5613,28.22,95,2666,195671,-1289,10951,3982,9.84,5.6,17.2
